season,species,date,plant_number,leaf,ea_kJ_mol,ln_a_unitless,tcrit_C
fall,Abies balsamea,20230920,X25807,L1,348.0384669,128.5152137,43.42666667
fall,Abies balsamea,20230920,X25807,L2,408.1687024,151.1850522,43.53166667
fall,Abies balsamea,20230920,X26428,L1,245.7348776,90.27681596,41.43875
fall,Abies balsamea,20230920,X26428,L2,397.5498346,148.0352396,42.62
fall,Abies balsamea,20230920,X27911,L1,348.7092909,128.8714454,42.61375
fall,Abies balsamea,20230920,X27911,L2,254.9265116,93.67026231,41.87166667
fall,Polystichum imbricans subsp. imbricans,20230913,X24542,L1,410.3450735,151.3000768,47.40125
fall,Polystichum imbricans subsp. imbricans,20230913,X24542,L2,526.6384048,194.5785469,47.835
fall,Polystichum imbricans subsp. imbricans,20230913,X26763,L1,473.1439931,176.1805566,46.05444444
fall,Polystichum imbricans subsp. imbricans,20230913,X26763,L2,473.9873849,176.8715514,45.01166667
fall,Polystichum imbricans subsp. imbricans,20230913,X29879,L1,493.2466039,183.9026596,46.16444444
fall,Polystichum imbricans subsp. imbricans,20230913,X29879,L2,463.8328388,172.7924811,46.41666667
fall,Rhododendron calendulaceum,20230918,X21328,L1,411.5819412,150.0565305,47.11
fall,Rhododendron calendulaceum,20230918,X21328,L2,454.509238,165.9513386,47.93333333
fall,Rhododendron calendulaceum,20230918,X21328,L3,479.9110132,175.2899569,48.43333333
fall,Rhododendron calendulaceum,20230918,X21328,L4,444.8070852,162.5171014,47.65
fall,Rhododendron calendulaceum,20230918,X21328,L5,568.1302024,207.6402643,49.12
fall,Rhododendron calendulaceum,20230918,X25977,L1,680.436382,248.4519025,50.59
fall,Rhododendron calendulaceum,20230918,X25977,L2,579.3962688,211.9368473,49.23666667
fall,Rhododendron calendulaceum,20230918,X25977,L3,516.9507903,188.6594809,48.19333333
fall,Rhododendron calendulaceum,20230918,X25977,L4,557.3340748,204.0329005,48.52
fall,Rhododendron calendulaceum,20230918,X25977,L5,386.5975166,141.1804577,46.79666667
fall,Rhododendron calendulaceum,20230918,X27231,L1,419.7414573,153.3236479,46.94
fall,Rhododendron calendulaceum,20230918,X27231,L2,288.3474313,104.9299232,45.61333333
fall,Rhododendron calendulaceum,20230918,X27231,L3,218.4335581,78.7414673,44.93
fall,Rhododendron calendulaceum,20230918,X27231,L4,309.2131678,112.3474495,46.38
fall,Rhododendron calendulaceum,20230918,X27231,L5,269.6077725,97.56672268,44.34333333
spring,Abies balsamea,20230525,X21186,L1,478.5004186,180.2091327,40.01333333
spring,Abies balsamea,20230525,X21186,L2,519.8745563,195.3210609,40.31666667
spring,Abies balsamea,20230525,X21186,L3,267.1096392,99.72014147,37.64333333
spring,Abies balsamea,20230525,X21186,L4,359.1150161,134.2071111,39.46666667
spring,Abies balsamea,20230525,X21186,L5,357.2163078,133.6218187,39.12666667
spring,Abies balsamea,20230525,X23956,L1,359.2267931,134.7851059,39.03333333
spring,Abies balsamea,20230525,X23956,L2,318.1697693,119.2685928,37.90666667
spring,Abies balsamea,20230525,X23956,L3,346.3989239,130.0677604,38.535
spring,Abies balsamea,20230525,X23956,L4,284.0406139,106.048839,38.32333333
spring,Abies balsamea,20230525,X23956,L5,334.0301579,124.7868978,37.64
spring,Abies balsamea,20230525,X27312,L1,299.9992031,111.933,39.395
spring,Abies balsamea,20230525,X27312,L2,374.0715056,140.1878788,38.84333333
spring,Abies balsamea,20230525,X27312,L3,558.8235708,210.5480669,40.40666667
spring,Abies balsamea,20230525,X27312,L4,344.3568248,129.0548934,37.76
spring,Abies balsamea,20230525,X27312,L5,319.6171802,120.0395582,37.49333333
spring,Polystichum imbricans subsp. imbricans,20230529,X21700,L1,332.5802069,123.8422913,40.04
spring,Polystichum imbricans subsp. imbricans,20230529,X21700,L2,392.6356788,146.5248767,40.98333333
spring,Polystichum imbricans subsp. imbricans,20230529,X24660,L1,330.4515668,122.9569273,40.976
spring,Polystichum imbricans subsp. imbricans,20230529,X24660,L2,357.0820508,133.2574297,40.56444444
spring,Polystichum imbricans subsp. imbricans,20230529,X26299,L1,394.0108411,146.3573053,43.05666667
spring,Polystichum imbricans subsp. imbricans,20230529,X26299,L2,385.2871428,143.3741382,42.91666667
summer,Abies balsamea,20230721,X21851,L1,345.8711419,127.4530372,43.68
summer,Abies balsamea,20230721,X21851,L2,331.1053614,122.027109,43.32666667
