clade,ea_kJ_mol,ln_a_unitless,type,material
angiosperm,267.9072808,97.9379043,psii,NA
angiosperm,459.370245,168.1902211,psii,NA
angiosperm,349.736784,127.0497246,psii,NA
angiosperm,207.133992,75.42674767,psii,NA
angiosperm,397.5088189,146.5222203,psii,NA
angiosperm,261.9985338,97.10952931,psii,NA
angiosperm,445.1069832,162.0851749,psii,NA
angiosperm,266.4484679,98.15436845,psii,NA
angiosperm,377.0276705,136.5338703,psii,NA
angiosperm,181.5370114,65.72472433,psii,NA
angiosperm,462.3038025,171.0673812,psii,NA
angiosperm,183.6567579,66.18176631,psii,NA
angiosperm,259.4636626,94.93315022,psii,NA
angiosperm,332.7018528,121.3567992,psii,NA
angiosperm,336.5360384,122.8497164,psii,NA
angiosperm,282.0653694,103.071629,psii,NA
angiosperm,375.9425072,137.853973,psii,NA
angiosperm,248.9348587,90.56658107,psii,NA
angiosperm,476.4695359,176.6935469,psii,NA
angiosperm,306.1331211,112.3152365,psii,NA
angiosperm,549.0634689,204.0896476,psii,NA
angiosperm,365.0388678,135.4502958,psii,NA
angiosperm,202.2914839,74.57480163,psii,NA
angiosperm,287.68282,105.6109824,psii,NA
angiosperm,273.5636589,99.93198445,psii,NA
angiosperm,356.5166796,130.3180412,psii,NA
angiosperm,524.140674,193.5747024,psii,NA
angiosperm,524.140674,193.5747024,psii,NA
angiosperm,340.89234,125.53571,psii,NA
angiosperm,262.0343798,94.44890794,psii,NA
angiosperm,568.6157999,212.7088078,psii,NA
angiosperm,358.2427555,131.7945639,psii,NA
angiosperm,150.5506895,55.12906679,psii,NA
angiosperm,355.2462263,130.8323537,psii,NA
angiosperm,192.3085657,70.05994397,psii,NA
angiosperm,180.2816716,63.94539632,psii,NA
angiosperm,324.0985016,119.9097671,psii,NA
angiosperm,345.6412836,125.7201954,psii,NA
angiosperm,444.4232109,163.0975342,psii,NA
angiosperm,301.8015752,111.127741,psii,NA
angiosperm,295.9697387,108.7810698,psii,NA
angiosperm,407.3664734,150.3768222,psii,NA
angiosperm,392.8972111,144.1023079,psii,NA
angiosperm,291.636832,106.9453941,psii,NA
angiosperm,286.6360479,104.9466774,psii,NA
angiosperm,305.8194377,112.3757604,psii,NA
angiosperm,315.6774542,114.9640466,psii,NA
angiosperm,302.3578999,110.7506763,psii,NA
angiosperm,394.3015391,144.4436878,psii,NA
angiosperm,184.1355156,67.30855404,psii,NA
angiosperm,485.6545433,178.5085276,psii,NA
angiosperm,241.3119451,88.57262872,psii,NA
angiosperm,276.1513781,101.2594765,psii,NA
angiosperm,411.9979206,150.8355719,psii,NA
angiosperm,362.0217148,131.7418878,psii,NA
angiosperm,357.3908334,131.1229531,psii,NA
angiosperm,292.5413042,104.9844786,psii,NA
angiosperm,327.4090909,119.7330901,psii,NA
angiosperm,405.1164138,148.2492953,psii,NA
angiosperm,259.6568619,95.81701548,psii,NA
angiosperm,317.3768376,117.1346631,psii,NA
angiosperm,235.0334736,85.08933964,psii,NA
angiosperm,218.3992374,78.0089129,psii,NA
angiosperm,390.2631873,143.1148262,psii,NA
angiosperm,278.8441695,102.8456899,psii,NA
angiosperm,418.0703424,152.0458172,psii,NA
angiosperm,394.6074687,144.6202095,psii,NA
angiosperm,258.4574271,94.3250641,psii,NA
angiosperm,187.7590724,68.29646314,psii,NA
angiosperm,202.6018878,74.48205519,psii,NA
angiosperm,388.9652156,142.8754062,psii,NA
angiosperm,360.3558413,132.8501651,psii,NA
angiosperm,132.8742222,47.4475377,psii,NA
angiosperm,228.5916858,84.0962639,psii,NA
angiosperm,252.5956396,92.71893101,psii,NA
angiosperm,313.4331491,113.9985246,psii,NA
angiosperm,229.5437181,84.04327591,psii,NA
angiosperm,354.1077636,129.6541625,psii,NA
angiosperm,239.5084451,88.53648803,psii,NA
angiosperm,192.3485618,69.92489666,psii,NA
angiosperm,287.9515613,105.9819082,psii,NA
angiosperm,304.3628978,110.7905765,psii,NA
angiosperm,358.8846722,131.3326504,psii,NA
angiosperm,306.2488016,112.090611,psii,NA
angiosperm,247.1678561,89.56378241,psii,NA
angiosperm,308.8044261,113.8472767,psii,NA
angiosperm,309.8491977,115.4595663,psii,NA
angiosperm,271.1674241,99.93919386,psii,NA
angiosperm,338.3983242,124.0536116,psii,NA
angiosperm,345.9497764,126.8995751,psii,NA
angiosperm,388.982328,144.251529,psii,NA
angiosperm,124.9486117,44.61896033,psii,NA
angiosperm,346.587501,126.4680471,psii,NA
angiosperm,390.0424992,143.7536908,psii,NA
angiosperm,306.6325969,110.7300141,psii,NA
angiosperm,456.5943248,165.5443767,psii,NA
angiosperm,618.9043109,230.1910336,psii,NA
angiosperm,301.496898,110.3611717,psii,NA
angiosperm,332.1978753,120.4587517,psii,NA
angiosperm,310.919427,114.1157011,psii,NA
angiosperm,305.5508715,113.2702304,psii,NA
angiosperm,318.7435794,117.1141708,psii,NA
angiosperm,260.0655048,94.75154661,psii,NA
angiosperm,415.1055284,152.1039796,psii,NA
angiosperm,246.2022072,89.80090155,psii,NA
angiosperm,278.1341046,103.4380948,psii,NA
angiosperm,466.5681094,172.1468957,psii,NA
angiosperm,284.6361728,104.1838709,psii,NA
angiosperm,560.0503228,204.9295683,psii,NA
angiosperm,342.1841598,125.1854047,psii,NA
angiosperm,166.6474092,60.93764822,psii,NA
angiosperm,257.0141709,93.48320993,psii,NA
angiosperm,115.9825483,40.50702226,psii,NA
angiosperm,188.7717915,68.5104843,psii,NA
angiosperm,229.2556055,83.28519254,psii,NA
angiosperm,209.3932121,74.68250016,psii,NA
angiosperm,303.9558334,112.2735732,psii,NA
angiosperm,222.8219751,81.53489673,psii,NA
angiosperm,371.854815,136.2191208,psii,NA
angiosperm,252.1037286,91.82762638,psii,NA
angiosperm,204.9407267,74.54782254,psii,NA
angiosperm,203.5309808,73.91181887,psii,NA
angiosperm,165.6490695,59.84571891,psii,NA
angiosperm,291.456366,105.7900866,psii,NA
angiosperm,366.6821614,135.0607231,psii,NA
angiosperm,367.8671936,136.3119051,psii,NA
angiosperm,444.7041585,163.860064,psii,NA
angiosperm,266.0011144,97.28020442,psii,NA
angiosperm,377.8923187,137.3461234,psii,NA
angiosperm,228.9772754,83.64204029,psii,NA
angiosperm,331.2472778,121.1804351,psii,NA
angiosperm,443.7353593,160.3854,psii,NA
angiosperm,376.7523394,138.4087799,psii,NA
angiosperm,248.7858492,92.4680848,psii,NA
angiosperm,316.6100715,115.2198939,psii,NA
angiosperm,395.8145329,143.8674334,psii,NA
angiosperm,260.2839327,94.99331286,psii,NA
angiosperm,293.1929491,108.4114713,psii,NA
angiosperm,326.969179,119.2714136,psii,NA
angiosperm,201.8567092,73.40067728,psii,NA
angiosperm,239.3512083,87.37397652,psii,NA
angiosperm,165.9043775,60.58659559,psii,NA
angiosperm,307.276505,112.8665283,psii,NA
angiosperm,265.9728992,98.00025361,psii,NA
angiosperm,296.6654484,108.7220213,psii,NA
angiosperm,332.6790256,120.658181,psii,NA
angiosperm,573.0824329,210.9192824,psii,NA
gymnosperm,324.1026611,118.2853108,psii,NA
gymnosperm,229.1106976,83.64631984,psii,NA
gymnosperm,405.7181212,150.6429546,psii,NA
gymnosperm,364.8025748,134.9231774,psii,NA
gymnosperm,407.5675298,150.4209812,psii,NA
gymnosperm,421.0141086,155.4355729,psii,NA
gymnosperm,390.7060192,142.4608415,psii,NA
gymnosperm,300.1235397,110.2340724,psii,NA
gymnosperm,307.0414684,112.6095995,psii,NA
gymnosperm,275.8529676,100.9077225,psii,NA
gymnosperm,324.2211775,118.8470284,psii,NA
gymnosperm,297.9515719,108.269746,psii,NA
gymnosperm,152.6558326,54.62680476,psii,NA
gymnosperm,263.31156,96.5605411,psii,NA
pteridophyte,278.253666,101.7172004,psii,NA
pteridophyte,404.7603495,149.9908365,psii,NA
pteridophyte,318.3137658,116.8479604,psii,NA
pteridophyte,214.3226602,77.93587458,psii,NA
pteridophyte,347.0925567,126.8566919,psii,NA
pteridophyte,367.4038251,134.4895987,psii,NA
pteridophyte,273.8926918,99.98132253,psii,NA
pteridophyte,244.8778909,89.86457616,psii,NA
pteridophyte,367.6895964,136.1016238,psii,NA
pteridophyte,338.8915391,123.9934546,psii,NA
pteridophyte,382.7676086,140.144069,psii,NA
pteridophyte,379.9216989,140.3663762,psii,NA
pteridophyte,338.9245186,124.7701933,psii,NA
angiosperm,384.804246,140.4045728,psii,NA
angiosperm,286.3559939,104.4237167,psii,NA
angiosperm,239.773871,87.7295374,psii,NA
NA,22.5936,NA,Lipid bilayer,Phospholipid DMPC
NA,36.4008,NA,Lipid bilayer,Phospholipid DPPC
NA,44.3504,NA,Lipid bilayer,Phospholipid DSPC
NA,96,NA,Lipid bilayer,Trp-NH2
NA,80,NA,Lipid bilayer,Ac-Trp-NH2
NA,88,NA,Lipid bilayer,serotonin
NA,71,NA,Lipid bilayer,tryptamine
NA,28,NA,Lipid bilayer,Trp-OMe
NA,100,NA,Lipid bilayer,Trp-NH2
NA,100,NA,Lipid bilayer,Ac-Trp-NH2
NA,84,NA,Lipid bilayer,serotonin
NA,50,NA,Lipid bilayer,tryptamine
NA,59,NA,Lipid bilayer,Trp-Ome
NA,47,NA,Lipid bilayer,Trp-NH2
NA,49,NA,Lipid bilayer,Ac-Trp-NH2
NA,19,NA,Lipid bilayer,tryptamine
NA,61.92062991,NA,Lipid bilayer,C80-PP/DOPC mixture
NA,74.67233675,NA,Lipid bilayer,C80-PP/DOPC mixture
NA,73.06234323,NA,Lipid bilayer,C80-PP/DOPC mixture
NA,83.40337879,NA,Lipid bilayer,C80-PP/DOPC mixture
NA,44.51834748,NA,Lipid bilayer,C80-PP/DOPC mixture
NA,32.9573581,NA,Lipid bilayer,C80-PP/DOPC mixture
NA,100.416,NA,Protein,Human serum albumin
NA,99.9976,NA,Protein,Human serum albumin
NA,146.0216,40.57903111,Protein,Insulin
NA,230.12,85.37797,Protein,Pepsin
NA,349.7824,121.5093772,Protein,Leucosin
NA,549.7776,187.2025397,Protein,Egg albumin
NA,313.3816,126.025994,Protein,Hemoglobin
NA,165.6864,50.99334428,Protein,Trypsin
NA,174.0544,55.07571265,Protein,Enterokinase
NA,182.8408,57.48124572,Protein,Trypsin kinase
NA,156.0632,48.94207362,Protein,Pancreatic proteinase
NA,187.4432,62.8116514,Protein,Pancreatic lipase
NA,825.9216,298.3944535,Protein,Hemolysin
NA,533.0416,192.3673257,Protein,Vibriolusin
NA,719.648,259.1978632,Protein,Tetanolysin
