"clade","family","genus","species","ea","ln_a","Tcrit"
"angiosperm","Acanthaceae","Strobilanthes","Strobilanthes_attenuata",267.9072808,97.9379043,46.202
"angiosperm","Acoraceae","Acorus","Acorus_amaricanus",459.370245,168.1902211,49.533
"angiosperm","Actinidiaceae","Actinidia","Actinidia_deliciosa",349.736784,127.0497246,49.257
"angiosperm","Adoxaceae","Viburnum","Viburnum_henryi",207.133992,75.42674767,46.898
"angiosperm","Alismataceae","Alisma","Alisma_plantago-aquatica",397.5088189,146.5222203,46.908
"angiosperm","Alstroemeriaceae","Alstroemeria","Alstroemeria_revoluta",261.9985338,97.10952931,39.965
"angiosperm","Altingiaceae","Liquidambar","Liquidambar_styraciflua",445.1069832,162.0851749,46.962
"angiosperm","Amaranthaceae","Spinacia","Spinacia_oleracea",266.4484679,98.15436845,43.847
"angiosperm","Amaryllidaceae","Allium","Allium_schoenoprasum",377.0276705,136.5338703,51.13
"angiosperm","Anacardiaceae","Rhus","Rhus_typhina",181.5370114,65.72472433,45.609
"angiosperm","Annonaceae","Asimina","Asimina_triloba",462.3038025,171.0673812,46.374
"angiosperm","Apiaceae","Astrantia","Astrantia_major",183.6567579,66.18176631,42.082
"angiosperm","Apocynaceae","Asclepias","Asclepias_speciosa",259.4636626,94.93315022,45.268
"angiosperm","Aquifoliaceae","Ilex","Ilex_latifolia",332.7018528,121.3567992,48.448
"angiosperm","Araliaceae","Hedera","Hedera_helix",336.5360384,122.8497164,47.337
"angiosperm","Aristolochiaceae","Aristolochia","Aristolochia_tomentosa",282.0653694,103.071629,45.966
"angiosperm","Asparagaceae","Hosta","Hosta_sieboldii",375.9425072,137.853973,47.768
"angiosperm","Asphodelaceae","Kniphofia","Kniphofia_hirsuta",248.9348587,90.56658107,45.602
"angiosperm","Aspleniaceae","Asplenium","Asplenium_scolopendrium",476.4695359,176.6935469,46.103
"angiosperm","Asteliaceae","Astelia","Astelia_chathamica",306.1331211,112.3152365,43.904
"angiosperm","Asteraceae","Inula","Inula_helenium",549.0634689,204.0896476,46.121
"angiosperm","Balsaminaceae","Impatiens","Impatiens_omeiana",365.0388678,135.4502958,43.366
"angiosperm","Begoniaceae","Begonia","Begonia_emiensis",202.2914839,74.57480163,44.49
"angiosperm","Berberidaceae","Berberis","Berberis_aquifolium",287.68282,105.6109824,44.196
"angiosperm","Betulaceae","Ostrya","Ostrya_carpinifolia",273.5636589,99.93198445,45.219
"angiosperm","Bignoniaceae","Catalpa","Catalpa_speciosa",356.5166796,130.3180412,49.185
"angiosperm","Boraginaceae","Hydrophyllum","Hydrophyllum_tenuipes",524.140674,193.5747024,43.497
"angiosperm","Boraginaceae","Trachystemon","Trachystemon_orientalis",524.140674,193.5747024,47.614
"angiosperm","Brassicaceae","Pachyphragma","Pachyphragma_macrophyllum",340.89234,125.53571,44.389
"angiosperm","Buxaceae","Sarcococca","Sarcococca_confusa",262.0343798,94.44890794,49.004
"angiosperm","Calceolariaceae","Calceolaria","Calceolaria_cavanillesii",568.6157999,212.7088078,44.272
