unique_id,title,authors,year,journal,species,tolerance_metric,heat_tolerance,latitude,longitude
80,Consistently high heat tolerance acclimation in response to a simulated heatwave across species from the broadly distributed Acacia genus,"Andrew, SC; Arnold, PA; Simonsen, AK; Briceno, VF",2023,FUNCTIONAL PLANT BIOLOGY,Acacia acuminata,Tcrit,40.9,-35.2975906,149.1012676
80,Consistently high heat tolerance acclimation in response to a simulated heatwave across species from the broadly distributed Acacia genus,"Andrew, SC; Arnold, PA; Simonsen, AK; Briceno, VF",2023,FUNCTIONAL PLANT BIOLOGY,Acacia adsurgens,Tcrit,46.2,-35.2975906,149.1012676
80,Consistently high heat tolerance acclimation in response to a simulated heatwave across species from the broadly distributed Acacia genus,"Andrew, SC; Arnold, PA; Simonsen, AK; Briceno, VF",2023,FUNCTIONAL PLANT BIOLOGY,Acacia crassicarpa,Tcrit,39.9,-35.2975906,149.1012676
80,Consistently high heat tolerance acclimation in response to a simulated heatwave across species from the broadly distributed Acacia genus,"Andrew, SC; Arnold, PA; Simonsen, AK; Briceno, VF",2023,FUNCTIONAL PLANT BIOLOGY,Acacia dermatophylla,Tcrit,47.5,-35.2975906,149.1012676
80,Consistently high heat tolerance acclimation in response to a simulated heatwave across species from the broadly distributed Acacia genus,"Andrew, SC; Arnold, PA; Simonsen, AK; Briceno, VF",2023,FUNCTIONAL PLANT BIOLOGY,Acacia filicifolia,Tcrit,45.1,-35.2975906,149.1012676
80,Consistently high heat tolerance acclimation in response to a simulated heatwave across species from the broadly distributed Acacia genus,"Andrew, SC; Arnold, PA; Simonsen, AK; Briceno, VF",2023,FUNCTIONAL PLANT BIOLOGY,Acacia melanoxylon,Tcrit,40.8,-35.2975906,149.1012676
80,Consistently high heat tolerance acclimation in response to a simulated heatwave across species from the broadly distributed Acacia genus,"Andrew, SC; Arnold, PA; Simonsen, AK; Briceno, VF",2023,FUNCTIONAL PLANT BIOLOGY,Acacia peuce,Tcrit,43.9,-35.2975906,149.1012676
80,Consistently high heat tolerance acclimation in response to a simulated heatwave across species from the broadly distributed Acacia genus,"Andrew, SC; Arnold, PA; Simonsen, AK; Briceno, VF",2023,FUNCTIONAL PLANT BIOLOGY,Acacia pruinocarpa,Tcrit,50.4,-35.2975906,149.1012676
80,Consistently high heat tolerance acclimation in response to a simulated heatwave across species from the broadly distributed Acacia genus,"Andrew, SC; Arnold, PA; Simonsen, AK; Briceno, VF",2023,FUNCTIONAL PLANT BIOLOGY,Acacia pycnantha,Tcrit,41.7,-35.2975906,149.1012676
80,Consistently high heat tolerance acclimation in response to a simulated heatwave across species from the broadly distributed Acacia genus,"Andrew, SC; Arnold, PA; Simonsen, AK; Briceno, VF",2023,FUNCTIONAL PLANT BIOLOGY,Acacia rubida,Tcrit,48.3,-35.2975906,149.1012676
80,Consistently high heat tolerance acclimation in response to a simulated heatwave across species from the broadly distributed Acacia genus,"Andrew, SC; Arnold, PA; Simonsen, AK; Briceno, VF",2023,FUNCTIONAL PLANT BIOLOGY,Acacia sericoflora,Tcrit,48.9,-35.2975906,149.1012676
80,Consistently high heat tolerance acclimation in response to a simulated heatwave across species from the broadly distributed Acacia genus,"Andrew, SC; Arnold, PA; Simonsen, AK; Briceno, VF",2023,FUNCTIONAL PLANT BIOLOGY,Acacia siculiformis,Tcrit,45.6,-35.2975906,149.1012676
80,Consistently high heat tolerance acclimation in response to a simulated heatwave across species from the broadly distributed Acacia genus,"Andrew, SC; Arnold, PA; Simonsen, AK; Briceno, VF",2023,FUNCTIONAL PLANT BIOLOGY,Acacia simsii,Tcrit,45.2,-35.2975906,149.1012676
80,Consistently high heat tolerance acclimation in response to a simulated heatwave across species from the broadly distributed Acacia genus,"Andrew, SC; Arnold, PA; Simonsen, AK; Briceno, VF",2023,FUNCTIONAL PLANT BIOLOGY,Acacia verticillata,Tcrit,41.3,-35.2975906,149.1012676
80,Consistently high heat tolerance acclimation in response to a simulated heatwave across species from the broadly distributed Acacia genus,"Andrew, SC; Arnold, PA; Simonsen, AK; Briceno, VF",2023,FUNCTIONAL PLANT BIOLOGY,Acacia victoriae,Tcrit,45.9,-35.2975906,149.1012676
135,Expression-environment associations in transcriptomic heat stress responses for a global plant lineage,"Andrew, SC; Simonsen, AK; Coppin, CW; Arnold, PA; Briceño, VF; McLay, TGB; Jackson, CJ; Gallagher, RV; Mokany, K",2024,MOLECULAR ECOLOGY,Acacia trachyphloia,Tcrit,56.06,-35.2975906,149.1012676
135,Expression-environment associations in transcriptomic heat stress responses for a global plant lineage,"Andrew, SC; Simonsen, AK; Coppin, CW; Arnold, PA; Briceño, VF; McLay, TGB; Jackson, CJ; Gallagher, RV; Mokany, K",2024,MOLECULAR ECOLOGY,Acacia acuminata,Tcrit,40.94,-35.2975906,149.1012676
135,Expression-environment associations in transcriptomic heat stress responses for a global plant lineage,"Andrew, SC; Simonsen, AK; Coppin, CW; Arnold, PA; Briceño, VF; McLay, TGB; Jackson, CJ; Gallagher, RV; Mokany, K",2024,MOLECULAR ECOLOGY,Acacia acuminata,Tcrit,56.06,-35.2975906,149.1012676
135,Expression-environment associations in transcriptomic heat stress responses for a global plant lineage,"Andrew, SC; Simonsen, AK; Coppin, CW; Arnold, PA; Briceño, VF; McLay, TGB; Jackson, CJ; Gallagher, RV; Mokany, K",2024,MOLECULAR ECOLOGY,Acacia adsurgens,Tcrit,46.25,-35.2975906,149.1012676
135,Expression-environment associations in transcriptomic heat stress responses for a global plant lineage,"Andrew, SC; Simonsen, AK; Coppin, CW; Arnold, PA; Briceño, VF; McLay, TGB; Jackson, CJ; Gallagher, RV; Mokany, K",2024,MOLECULAR ECOLOGY,Acacia adsurgens,Tcrit,56.76,-35.2975906,149.1012676
135,Expression-environment associations in transcriptomic heat stress responses for a global plant lineage,"Andrew, SC; Simonsen, AK; Coppin, CW; Arnold, PA; Briceño, VF; McLay, TGB; Jackson, CJ; Gallagher, RV; Mokany, K",2024,MOLECULAR ECOLOGY,Acacia binervata,Tcrit,46.38,-35.2975906,149.1012676
135,Expression-environment associations in transcriptomic heat stress responses for a global plant lineage,"Andrew, SC; Simonsen, AK; Coppin, CW; Arnold, PA; Briceño, VF; McLay, TGB; Jackson, CJ; Gallagher, RV; Mokany, K",2024,MOLECULAR ECOLOGY,Acacia brassii,Tcrit,45.06,-35.2975906,149.1012676
135,Expression-environment associations in transcriptomic heat stress responses for a global plant lineage,"Andrew, SC; Simonsen, AK; Coppin, CW; Arnold, PA; Briceño, VF; McLay, TGB; Jackson, CJ; Gallagher, RV; Mokany, K",2024,MOLECULAR ECOLOGY,Acacia crassicarpa,Tcrit,39.95,-35.2975906,149.1012676
