"","season","Species","date","PlantNumber","Leaf","ea","ln_a","tcrit"
"1","fall","Abies balsamea",20230920,"X25807","L1",348.038466935091,128.515213684969,43.4266666666667
"2","fall","Abies balsamea",20230920,"X25807","L2",408.168702380118,151.185052177842,43.5316666666667
"3","fall","Abies balsamea",20230920,"X26428","L1",245.734877611677,90.2768159588224,41.43875
"4","fall","Abies balsamea",20230920,"X26428","L2",397.549834561792,148.035239558342,42.62
"5","fall","Abies balsamea",20230920,"X27911","L1",348.709290878413,128.871445392724,42.61375
"6","fall","Abies balsamea",20230920,"X27911","L2",254.926511647149,93.6702623103001,41.8716666666667
"7","fall","Polystichum imbricans subsp. imbricans",20230913,"X24542","L1",410.345073539529,151.300076804294,47.40125
"8","fall","Polystichum imbricans subsp. imbricans",20230913,"X24542","L2",526.638404773683,194.578546932481,47.835
"9","fall","Polystichum imbricans subsp. imbricans",20230913,"X26763","L1",473.143993134872,176.180556625744,46.0544444444444
"10","fall","Polystichum imbricans subsp. imbricans",20230913,"X26763","L2",473.987384901848,176.871551429634,45.0116666666667
"11","fall","Polystichum imbricans subsp. imbricans",20230913,"X29879","L1",493.246603909231,183.90265958929,46.1644444444444
"12","fall","Polystichum imbricans subsp. imbricans",20230913,"X29879","L2",463.832838828691,172.792481141155,46.4166666666667
"13","fall","Rhododendron calendulaceum",20230918,"X21328","L1",411.58194115159,150.056530450002,47.11
"14","fall","Rhododendron calendulaceum",20230918,"X21328","L2",454.509238001066,165.95133860477,47.9333333333333
"15","fall","Rhododendron calendulaceum",20230918,"X21328","L3",479.911013235335,175.289956941147,48.4333333333333
"16","fall","Rhododendron calendulaceum",20230918,"X21328","L4",444.807085205264,162.517101403429,47.65
"17","fall","Rhododendron calendulaceum",20230918,"X21328","L5",568.130202448862,207.640264322909,49.12
"18","fall","Rhododendron calendulaceum",20230918,"X25977","L1",680.436382024635,248.451902525406,50.59
"19","fall","Rhododendron calendulaceum",20230918,"X25977","L2",579.39626877513,211.936847260427,49.2366666666667
"20","fall","Rhododendron calendulaceum",20230918,"X25977","L3",516.950790284917,188.659480904412,48.1933333333333
"21","fall","Rhododendron calendulaceum",20230918,"X25977","L4",557.334074828677,204.032900507766,48.52
"22","fall","Rhododendron calendulaceum",20230918,"X25977","L5",386.597516574908,141.18045767683,46.7966666666667
"23","fall","Rhododendron calendulaceum",20230918,"X27231","L1",419.7414573066,153.32364790669,46.94
