"ea_kJ_mol","ln_a_unitless","type","material"
22.5936,NA,"Lipid bilayer","Phospholipid DMPC"
36.4008,NA,"Lipid bilayer","Phospholipid DPPC"
44.3504,NA,"Lipid bilayer","Phospholipid DSPC"
96,NA,"Lipid bilayer","Trp-NH2"
80,NA,"Lipid bilayer","Ac-Trp-NH2"
88,NA,"Lipid bilayer","serotonin"
71,NA,"Lipid bilayer","tryptamine"
28,NA,"Lipid bilayer","Trp-OMe"
100,NA,"Lipid bilayer","Trp-NH2"
100,NA,"Lipid bilayer","Ac-Trp-NH2"
84,NA,"Lipid bilayer","serotonin"
50,NA,"Lipid bilayer","tryptamine"
59,NA,"Lipid bilayer","Trp-OMe"
47,NA,"Lipid bilayer","Trp-NH2"
49,NA,"Lipid bilayer","Ac-Trp-NH2"
19,NA,"Lipid bilayer","tryptamine"
61.92062991,NA,"Lipid bilayer","C80-PP/DOPC mixture"
74.67233675,NA,"Lipid bilayer","C80-PP/DOPC mixture"
73.06234323,NA,"Lipid bilayer","C80-PP/DOPC mixture"
83.40337879,NA,"Lipid bilayer","C80-PP/DOPC mixture"
44.51834748,NA,"Lipid bilayer","C80-PP/DOPC mixture"
32.9573581,NA,"Lipid bilayer","C80-PP/DOPC mixture"
100.416,NA,"Protein","Human serum albumin"
99.9976,NA,"Protein","Human serum albumin"
146.0216,40.5790311061881,"Protein","Insulin"
230.12,85.3779699975736,"Protein","Pepsin"
349.7824,121.509377186602,"Protein","Leucosin"
549.7776,187.202539713078,"Protein","Egg albumin"
313.3816,126.025993975249,"Protein","Hemoglobin"
165.6864,50.9933442824902,"Protein","Trypsin"
174.0544,55.0757126536656,"Protein","Enterokinase"
182.8408,57.4812457159121,"Protein","Trypsin kinase"
156.0632,48.9420736177771,"Protein","Pancreatic proteinase"
187.4432,62.8116513970116,"Protein","Pancreatic lipase"
825.9216,298.394453549367,"Protein","Hemolysin"
533.0416,192.367325687001,"Protein","Vibriolusin"
719.648,259.197863234983,"Protein","Tetanolysin"
772.3664,262.964704230567,"Protein","Peroxidase (milk)"
371.5392,133.103648291026,"Protein","Rennin"
171.1256,54.8465267878954,"Protein","Amylase (malt)"
216.7312,71.1057010371137,"Protein","Invertase (yeast)"
459.4032,121.509377186602,"Protein","Invertase (yeast)"
358.5688,160.467606621706,"Protein","Invertase (yeast)"
308.3608,160.404427720084,"Protein","Invertase (yeast)"
184.9328,61.3712898146215,"Protein","Emulsin (wet)"
104.1816,24.7305990221789,"Protein","Emulsin (dry)"
97.9056,22.2048703778706,"Protein","Lipase"
238.488,NA,"Protein","Ribonuclease"
163.176,NA,"Protein","Chymotrypsinogen"
175.728,NA,"Protein","Chymotrypsinogen"
430.952,NA,"Protein","DNA polymerase α"
598.312,NA,"Protein","DNA polymerase β"
460.24,NA,"Protein","GAPDH"
