"type","ea_kJ_mol","ln_a_unitless"
"psii",267.9072808,97.9379043
"psii",459.370245,168.1902211
"psii",349.736784,127.0497246
"psii",207.133992,75.42674767
"psii",397.5088189,146.5222203
"psii",261.9985338,97.10952931
"psii",445.1069832,162.0851749
"psii",266.4484679,98.15436845
"psii",377.0276705,136.5338703
"psii",181.5370114,65.72472433
"psii",462.3038025,171.0673812
"psii",183.6567579,66.18176631
"psii",259.4636626,94.93315022
"psii",332.7018528,121.3567992
"psii",336.5360384,122.8497164
"psii",282.0653694,103.071629
"psii",375.9425072,137.853973
"psii",248.9348587,90.56658107
"psii",476.4695359,176.6935469
"psii",306.1331211,112.3152365
"psii",549.0634689,204.0896476
"psii",365.0388678,135.4502958
"psii",202.2914839,74.57480163
"psii",287.68282,105.6109824
"psii",273.5636589,99.93198445
"psii",356.5166796,130.3180412
"psii",524.140674,193.5747024
"psii",524.140674,193.5747024
"psii",340.89234,125.53571
"psii",262.0343798,94.44890794
"psii",568.6157999,212.7088078
"psii",358.2427555,131.7945639
"psii",150.5506895,55.12906679
"psii",355.2462263,130.8323537
"psii",192.3085657,70.05994397
"psii",180.2816716,63.94539632
"psii",324.0985016,119.9097671
"psii",345.6412836,125.7201954
"psii",444.4232109,163.0975342
"psii",301.8015752,111.127741
"psii",295.9697387,108.7810698
"psii",407.3664734,150.3768222
"psii",392.8972111,144.1023079
"psii",291.636832,106.9453941
"psii",286.6360479,104.9466774
"psii",305.8194377,112.3757604
"psii",315.6774542,114.9640466
"psii",302.3578999,110.7506763
"psii",394.3015391,144.4436878
"psii",184.1355156,67.30855404
"psii",485.6545433,178.5085276
"psii",241.3119451,88.57262872
"psii",276.1513781,101.2594765
"psii",411.9979206,150.8355719
"psii",362.0217148,131.7418878
"psii",357.3908334,131.1229531
"psii",292.5413042,104.9844786
"psii",327.4090909,119.7330901
"psii",405.1164138,148.2492953
"psii",259.6568619,95.81701548
"psii",317.3768376,117.1346631
"psii",235.0334736,85.08933964
"psii",218.3992374,78.0089129
"psii",390.2631873,143.1148262
"psii",278.8441695,102.8456899
"psii",418.0703424,152.0458172
"psii",394.6074687,144.6202095
"psii",258.4574271,94.3250641
"psii",187.7590724,68.29646314
"psii",202.6018878,74.48205519
"psii",388.9652156,142.8754062
"psii",360.3558413,132.8501651
"psii",132.8742222,47.4475377
"psii",228.5916858,84.0962639
"psii",252.5956396,92.71893101
"psii",313.4331491,113.9985246
"psii",229.5437181,84.04327591
"psii",354.1077636,129.6541625
"psii",239.5084451,88.53648803
"psii",192.3485618,69.92489666
"psii",287.9515613,105.9819082
"psii",304.3628978,110.7905765
"psii",358.8846722,131.3326504
"psii",306.2488016,112.090611
"psii",247.1678561,89.56378241
"psii",308.8044261,113.8472767
"psii",309.8491977,115.4595663
"psii",271.1674241,99.93919386
"psii",338.3983242,124.0536116
"psii",345.9497764,126.8995751
"psii",388.982328,144.251529
"psii",124.9486117,44.61896033
"psii",346.587501,126.4680471
"psii",390.0424992,143.7536908
"psii",306.6325969,110.7300141
"psii",456.5943248,165.5443767
"psii",618.9043109,230.1910336
"psii",301.496898,110.3611717
"psii",332.1978753,120.4587517
"psii",310.919427,114.1157011
"psii",305.5508715,113.2702304
"psii",318.7435794,117.1141708
"psii",260.0655048,94.75154661
"psii",415.1055284,152.1039796
"psii",246.2022072,89.80090155
"psii",278.1341046,103.4380948
"psii",466.5681094,172.1468957
"psii",284.6361728,104.1838709
"psii",560.0503228,204.9295683
"psii",342.1841598,125.1854047
"psii",166.6474092,60.93764822
"psii",257.0141709,93.48320993
"psii",115.9825483,40.50702226
"psii",188.7717915,68.5104843
"psii",229.2556055,83.28519254
"psii",209.3932121,74.68250016
"psii",303.9558334,112.2735732
"psii",222.8219751,81.53489673
"psii",371.854815,136.2191208
"psii",252.1037286,91.82762638
"psii",204.9407267,74.54782254
"psii",203.5309808,73.91181887
"psii",165.6490695,59.84571891
"psii",291.456366,105.7900866
"psii",366.6821614,135.0607231
"psii",367.8671936,136.3119051
"psii",444.7041585,163.860064
"psii",266.0011144,97.28020442
"psii",377.8923187,137.3461234
"psii",228.9772754,83.64204029
"psii",331.2472778,121.1804351
"psii",443.7353593,160.3854
"psii",376.7523394,138.4087799
"psii",248.7858492,92.4680848
"psii",316.6100715,115.2198939
"psii",395.8145329,143.8674334
"psii",260.2839327,94.99331286
"psii",293.1929491,108.4114713
"psii",326.969179,119.2714136
"psii",201.8567092,73.40067728
"psii",239.3512083,87.37397652
"psii",165.9043775,60.58659559
"psii",307.276505,112.8665283
"psii",265.9728992,98.00025361
"psii",296.6654484,108.7220213
"psii",332.6790256,120.658181
"psii",573.0824329,210.9192824
"psii",324.1026611,118.2853108
"psii",229.1106976,83.64631984
"psii",405.7181212,150.6429546
"psii",364.8025748,134.9231774
"psii",407.5675298,150.4209812
"psii",421.0141086,155.4355729
"psii",390.7060192,142.4608415
"psii",300.1235397,110.2340724
"psii",307.0414684,112.6095995
"psii",275.8529676,100.9077225
"psii",324.2211775,118.8470284
"psii",297.9515719,108.269746
"psii",152.6558326,54.62680476
"psii",263.31156,96.5605411
"psii",278.253666,101.7172004
"psii",404.7603495,149.9908365
"psii",318.3137658,116.8479604
"psii",214.3226602,77.93587458
"psii",347.0925567,126.8566919
"psii",367.4038251,134.4895987
"psii",273.8926918,99.98132253
"psii",244.8778909,89.86457616
"psii",367.6895964,136.1016238
"psii",338.8915391,123.9934546
"psii",382.7676086,140.144069
"psii",379.9216989,140.3663762
"psii",338.9245186,124.7701933
"psii",384.804246,140.4045728
"psii",286.3559939,104.4237167
"psii",239.773871,87.7295374
"Protein",100.416,NA
"Protein",99.9976,NA
"Protein",146.0216,40.5790311061881
"Protein",230.12,85.3779699975736
"Protein",349.7824,121.509377186602
"Protein",549.7776,187.202539713078
"Protein",313.3816,126.025993975249
"Protein",165.6864,50.9933442824902
"Protein",174.0544,55.0757126536656
"Protein",182.8408,57.4812457159121
"Protein",156.0632,48.9420736177771
"Protein",187.4432,62.8116513970116
"Protein",825.9216,298.394453549367
"Protein",533.0416,192.367325687001
"Protein",719.648,259.197863234983
"Protein",772.3664,262.964704230567
"Protein",371.5392,133.103648291026
