"Type","Material","ea_kJ_mol","reference","species","a_s-1"
"Protein","Human serum albumin",100.416,"He & Bischof 2003",NA,NA
"Protein","Human serum albumin",99.9976,"He & Bischof 2003",NA,NA
"Protein","Insulin",146.0216,"He & Bischof 2003",NA,4.2e+17
"Protein","Pepsin",230.12,"He & Bischof 2003",NA,1.2e+37
"Protein","Leucosin",349.7824,"He & Bischof 2003",NA,5.9e+52
"Protein","Egg albumin",549.7776,"He & Bischof 2003",NA,2e+81
"Protein","Hemoglobin",313.3816,"He & Bischof 2003",NA,5.4e+54
"Protein","Trypsin",165.6864,"He & Bischof 2003",NA,1.4e+22
"Protein","Enterokinase",174.0544,"He & Bischof 2003",NA,8.3e+23
"Protein","Trypsin kinase",182.8408,"He & Bischof 2003",NA,9.2e+24
"Protein","Pancreatic proteinase",156.0632,"He & Bischof 2003",NA,1.8e+21
"Protein","Pancreatic lipase",187.4432,"He & Bischof 2003",NA,1.9e+27
"Protein","Hemolysin",825.9216,"He & Bischof 2003",NA,3.9e+129
"Protein","Vibriolusin",533.0416,"He & Bischof 2003",NA,3.5e+83
"Protein","Tetanolysin",719.648,"He & Bischof 2003",NA,3.7e+112
"Protein","Peroxidase (milk)",772.3664,"He & Bischof 2003",NA,1.6e+114
"Protein","Rennin",371.5392,"He & Bischof 2003",NA,6.4e+57
"Protein","Amylase (malt)",171.1256,"He & Bischof 2003",NA,6.6e+23
"Protein","Invertase (yeast)",216.7312,"He & Bischof 2003",NA,7.6e+30
"Protein","Invertase (yeast)",459.4032,"He & Bischof 2003",NA,5.9e+52
"Protein","Invertase (yeast)",358.5688,"He & Bischof 2003",NA,4.9e+69
"Protein","Invertase (yeast)",308.3608,"He & Bischof 2003",NA,4.6e+69
"Protein","Emulsin (wet)",184.9328,"He & Bischof 2003",NA,4.5e+26
"Protein","Emulsin (dry)",104.1816,"He & Bischof 2003",NA,5.5e+10
"Protein","Lipase",97.9056,"He & Bischof 2003",NA,4.4e+09
"Protein","Ribonuclease",238.488,"He & Bischof 2003",NA,NA
"Protein","Chymotrypsinogen",163.176,"He & Bischof 2003",NA,NA
"Protein","Chymotrypsinogen",175.728,"He & Bischof 2003",NA,NA
"Protein","DNA polymerase α",430.952,"He & Bischof 2003",NA,NA
"Protein","DNA polymerase β",598.312,"He & Bischof 2003",NA,NA
"Protein","GAPDH",460.24,"He & Bischof 2003",NA,NA
